	Lemma	Gender	LemmaID
0	acționare	Fem	acționare
1	amânare	Fem	amânare
2	coordonată	Fem	coordonată
3	gâscă	Fem	gâscă
4	latură	Fem	latură
5	soldat	Masc	soldat
6	cultură	Fem	cultură
7	maior	Masc	maior
8	stăpân	Masc	stăpân
9	zeu	Masc	zeu
10	miez	Masc	miez
11	miros	Neut	miros
12	ramă	Fem	ramă
13	înconjur	Neut	înconjur
14	dos	Neut	dos
15	mușchi	Masc	mușchi
16	aventură	Fem	aventură
17	aventurier	Masc	aventurier
18	zână	Fem	zână
19	albastru		albastru
20	soț	Masc	soț
21	decizie	Fem	decizie
22	masă	Fem	masă
23	moral	Neut	moral
24	nepoată	Fem	nepoată
25	premieră	Fem	premieră
26	război	Neut	război
27	efemeră	Fem	efemeră
28	urgență	Fem	urgență
29	larg	Neut	larg
30	zis	Masc	zis
31	ciudă	Fem	ciudă
32	conformitate	Fem	conformitate
33	erou	Masc	erou
34	posibilitate	Fem	posibilitate
35	expresie	Fem	expresie
36	imobil	Neut	imobil
37	posibil		posibil
38	pom	Masc	pom
39	neam	Neut	neam
40	funcție	Fem	funcție
41	fag	Masc	fag
42	asemănare	Fem	asemănare
43	ață	Fem	ață
44	greșeală	Fem	greșeală
45	instrument	Neut	instrument
46	vedere	Fem	vedere
47	încântare	Fem	încântare
48	dragă	Fem	dragă
49	milă	Fem	milă
50	comunicare	Fem	comunicare
51	răcnet	Neut	răcnet
52	coechipier	Masc	coechipier
53	bucurat	Masc	bucurat
54	greu		greu
55	odaie	Fem	odaie
56	rocă	Fem	rocă
57	strămoș	Masc	strămoș
58	citit		citit
59	foiță	Fem	foiță
60	rază	Fem	rază
61	personalitate	Fem	personalitate
62	impresie	Fem	impresie
63	inspirație	Fem	inspirație
64	beneficiu	Neut	beneficiu
65	rege	Masc	rege
66	verticală	Fem	verticală
67	funcționare	Fem	funcționare
68	literă	Fem	literă
69	margaretă	Fem	margaretă
70	mălai	Neut	mălai
71	frază	Fem	frază
72	cămașă	Fem	cămașă
73	bătută	Fem	bătută
74	umor		umor
75	halat	Neut	halat
76	sistem	Neut	sistem
77	bătrân	Masc	bătrân
78	amenințare	Fem	amenințare
79	dorință	Fem	dorință
80	pricină	Fem	pricină
81	triumfător	Masc	triumfător
82	permanență	Fem	permanență
83	jurnal	Neut	jurnal
84	element	Neut	element
85	peșteră	Fem	peșteră
86	recompensă	Fem	recompensă
87	treabă	Fem	treabă
88	miracol	Neut	miracol
89	eșec	Neut	eșec
90	haină	Fem	haină
91	măreție	Fem	măreție
92	ripostă	Fem	ripostă
93	confuzie	Fem	confuzie
94	logică	Fem	logică
95	mas	Neut	mas
96	melodie	Fem	melodie
97	îndatorire	Fem	îndatorire
98	acoperit	Masc	acoperit
99	crampă	Fem	crampă
100	recreație	Fem	recreație
101	cenușă	Fem	cenușă
102	începător	Masc	începător
103	transformare	Fem	transformare
104	pătrunjel	Masc	pătrunjel
105	interes	Neut	interes
106	cină	Fem	cină
107	învățat	Masc	învățat
108	râpă	Fem	râpă
109	istorie	Fem	istorie
110	minune	Fem	minune
111	identificare	Fem	identificare
112	reconstituire	Fem	reconstituire
113	atins	Masc	atins
114	pin	Masc	pin
115	închiriat		închiriat
116	apropiată	Fem	apropiată
